Latein,Deutsch,Kartei
quis es?,Wer bist Du?; Wie heißt Du?,3
Ego sum,Ich bin; ich heiße,4
familia,die Famiele,4
servus,der Diener; der Sklave,4
serva,die dienserin; die Sklavin,3
dominus,der Herr; der Hausherr,3
domina,die Herrin; die Hausherrin,3
negotium,das Geschäft (machen); die Aufgabe,3
est,er/sie/es ist; es gibt,2
amicus,der Freund,3
et,und,3
amica,die Freundin,3
ubi,wo,3
non,nicht,3
hic,hier,2
properare,eilen; sich beeilen,4
laborare,leiden; arbeiten,4
clamare,(laut) rufen; schreien,4
sedere,sitzen; dasitzen,4
gaudere,sich freuen; froh sein,4
sunt,sie sind; es gibt/findet statt,3
nam,denn ; nämlich,4
etiam,auch ; sogar,3
ibi,dort,3
debere,müssen; schulden,3
nunc,nun; jetzt,3
sed,aber; doch; sondern,4
cur?,warum?,3
otium,die Freizeit; die ruhe; die Muße,3
forum,"das Forum; der (Markt)Platz, das Stadtzentrum",3
nomen,der Name,3
lectus,das Bett; die Liege,3
mensa,der Tisch,4
cibus,die Speise; das Essen; die Nahrung,3
cenare,essen; speisen,3
vinum,der Wein,3
aqua,das Wasser,3
vocare,rufen,2
quid?,was?,2
ridere,lachen; auslachen,3
venire,kommen,3
audire,hören; anhören,3
dormire,schlafen,3
desperare,verzweifeln; die Hoffnung aufgeben,2
tum,dann; darauf; da; damals,3
iam,schon; bereits,3
subito,plötzlich,3
imperare,befehlen; anordnen; herrschen,3
parere,gehorchen; folgen,3
cessare,zögern; sich Zeit lassen,2
salutare,grüßen; begrüßen,3
salve!,sei gegrüßt; grüß dich!,3
num?,etwa?,1
aperire,öffnen; aufmachen,2
intrare,betreten; eintreten,1
verbum,das Wort,2
tacere,still sein; schweigen; verschweigen,2
rogare,fragen; bitte (um),1
respondere,antworten,2
docere,lehren; beibringen; unterrichten,2
fabula,die Geschichte; die Erzähliung; das Theaterstück,2
laudare,loben,1
bene,gut,2
tu,du,1
tabula,die Tafel; das Brett,2
amare,lieben; germe mögen,2
curare,sich kümmern; soregen (für); pflegen,2
ego,ich,2
spectare,(an)schauen; betrachten,1
monere,mahnen; erinnern,1
tandem,endlich; schließlich,2
puella,das Mädchen,2
quis?,wer?,2
autem,"aber, jedoch",2
semper,immer,2
narrare,"erzählen, berichten",2
quaeso,ich bitte,2
quaesumus,wir bitten,2
enim,denn; nämlich,1
grammaticus,der Literaturlehrer,2
magister,der lehrer,2
Romanus,der Römer,2
dea,die Göttin,2
deus,Gott,2
sacrum,das Opfer(tier); die Opferhandlung,1
ara,der altar,1
templum,der Temple,1
ignorare,nicht wissen ; nicht kennen,1
non ignorare,genau wissen,2
habere,haben,2
timere,sich fürchten; Angst haben,1
colere; colo,bewirtschaften; bebauen; pflegen; verehren,2
emere; emo,kaufen,1
vendere; vendo,verkaufen,1
dicere; dico,"sagen, sprechen, reden, nennen",1
facere; facio,tun; machen; ausführen,1
cupere; cupio,wünschen; haben wolln; begehren,1
novem,neun,1
mille,tausend,1
nummus,die Münze,1
poscere; posco,fordern,1
tres,drei,1
incendere; incendo,entflammen; in Brand setzen,1
sex,sechs,1
iterum,wiederum; ein zweies mal,1
certe,"sicher, gewiss",1
si,"wenn, falls",1
theatrum,das Theater,1
videre; video,sehen,1
ludus,das Spiel; die schule; die (zirkus)Spiele,1
incipere; incipio,anfangen; beginnen,0
filius,der Sohn,1
effugere; effugio,entkommen,0
mercator,der Händler; Kaufmann,1
senator,der Senator,1
gladiator,der Gladiator,1
fur,der Dieb; die Diebin,1
clamor,der Schrei; das Gesschrei; der Lärm,1
esse; sum,sein,2
