Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,14,x
Ego sum,Ich bin; ich heiße,14,x
familia,die Familie,14,s
servus,der Diener; der Sklave,14,s
serva,die Dienerin; die Sklavin,14,s
dominus,der Herr; der Hausherr,14,s
domina,die Herrin; die Hausherrin,14,s
negotium,das Geschäft (machen); die Aufgabe,14,s
est,er/sie/es ist; es gibt,14,v
amicus,der Freund,14,s
et,und,14,x
amica,die Freundin,14,s
ubi,wo,14,x
non,nicht,14,x
hic,hier,14,x
properare,eilen; sich beeilen,14,v
laborare,leiden; arbeiten,14,v
clamare,(laut) rufen; schreien,14,v
sedere; sedeo; sedi,sitzen; dasitzen,14,v
gaudere,sich freuen; froh sein,14,v
sunt,sie sind; es gibt/findet statt,14,x
nam,denn ; nämlich,14,x
etiam,auch ; sogar,14,x
ibi,dort,14,x
debere,müssen; schulden,14,v
nunc,nun; jetzt,14,x
sed,aber; doch; sondern,14,x
cur?,warum?,14,x
otium,die Freizeit; die Ruhe; die Muße,14,s
forum,"das Forum; der (Markt)Platz, das Stadtzentrum",14,s
nomen,der Name,14,s
lectus,das Bett; die Liege,14,s
mensa,der Tisch,14,s
cibus,die Speise; das Essen; die Nahrung,14,s
cenare,essen; speisen,14,v
vinum,der Wein,14,s
aqua,das Wasser,14,s
vocare,rufen,14,v
quid?,was?,14,x
ridere; rideo; risi,lachen; auslachen,14,v
venire; venio; veni,kommen,14,v
audire,hören; anhören,14,v
dormire,schlafen,14,v
desperare,verzweifeln; die Hoffnung aufgeben,14,v
tum,dann; darauf; da; damals,14,x
iam,schon; bereits,14,x
subito,plötzlich,14,x
imperare,befehlen; anordnen; herrschen,14,v
parere,gehorchen; folgen,14,v
cessare,zögern; sich Zeit lassen,14,v
salutare,grüßen; begrüßen,14,v
salve!,sei gegrüßt; grüß dich!,14,x
num?,etwa?,14,x
aperire; aperio; aperui,öffnen; aufmachen,14,v
intrare,betreten; eintreten,14,v
verbum,das Wort,14,s
tacere,still sein; schweigen; verschweigen,14,v
rogare,fragen; bitte (um),14,v
respondere; respondeo; respondi,antworten,14,v
docere,lehren; beibringen; unterrichten,14,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,14,s
laudare,loben,14,v
bene,gut,14,x
tu,du,14,x
tabula,die Tafel; das Brett,14,s
amare,lieben; germe mögen,14,v
curare,sich kümmern; soregen (für); pflegen,14,v
ego,ich,14,x
spectare,(an)schauen; betrachten,14,v
monere,mahnen; erinnern,14,v
tandem,endlich; schließlich,14,x
puella,das Mädchen,14,s
quis?,wer?,14,x
autem,"aber, jedoch",14,x
semper,immer,14,x
narrare,"erzählen, berichten",14,v
quaeso,ich bitte,14,v
quaesumus,wir bitten,14,v
enim,denn; nämlich,14,x
grammaticus,der Literaturlehrer,14,s
magister,der Lehrer,14,s
Romanus,der Römer,14,s
dea,die Göttin,14,s
deus,Gott,14,s
sacrum,das Opfer(tier); die Opferhandlung,14,s
ara,der Altar,14,s
templum,der Tempel,14,s
ignorare,nicht wissen ; nicht kennen,14,v
non ignorare,genau wissen,14,v
habere,haben,14,v
timere,sich fürchten; Angst haben,14,v
colere; colo; colui,bewirtschaften; bebauen; pflegen; verehren,14,v
emere; emo; emi,kaufen,14,v
vendere; vendo; vendidi,verkaufen,14,v
dicere; dico; dixi,"sagen, sprechen, reden, nennen",14,v
facere; facio; feci,tun; machen; ausführen,14,v
cupere; cupio; cupivi,wünschen; haben wolln; begehren,14,v
novem,neun,14,x
mille,tausend,14,x
nummus,die Münze,14,s
poscere; posco; poposci,fordern,14,v
tres,drei,14,x
incendere; incendo; incendi,entflammen; in Brand setzen,14,v
sex,sechs,14,x
iterum,wiederum; ein zweies mal,14,x
certe,"sicher, gewiss",14,x
si,"wenn, falls",14,x
theatrum,das Theater,14,s
videre; video; vidi,sehen,14,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,14,s
incipere; incipio; coepi,anfangen; beginnen,14,v
filius,der Sohn,14,s
effugere; effugio; effugi,entkommen,14,v
mercator,der Händler; Kaufmann,14,s
senator,der Senator,14,s
gladiator,der Gladiator,14,s
fur,der Dieb; die Diebin,14,s
clamor,der Schrei; das Gesschrei; der Lärm,14,s
esse; sum; fui,sein,14,v
adesse; adsum,da sein; helfen,14,x
abesse; absum,fort sein; weg sein; fehlen,14,x
retinere; retineo,zurückhalten; behalten; festhalten,14,v
intus,innne; im inneren,14,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,14,s
amor,die Liebe,14,s
dolor,der Schmerz,14,s
vita,das Leben; die Lebensweise,14,s
bestia,das (wilde) Teir,14,s
liberi,die Kinder,14,s
porta,die Tür; das Tor; der eingang,14,s
claudere; claudo; clausi,schließen; einschließen; versprerren,14,v
non iam,nicht mehr,14,x
larva,das Gespenst,14,s
persona,die Maske; die Rolle (im Schausoiel),14,s
scaena,die Bühne,14,s
occurrere; occuro; occurri,entgegenlaufen; -treten; begegnen,14,v
curia,die Kurie; das Rathaus,14,s
orator,der Redner,14,s
flamma,die Flamme,14,s
me,mich,14,x
fugere; fugio; fugi,fliehen (vor); meiden,14,v
locus,der Ort; der Platz; die Stelle,14,s
dare; do; dedi,geben,14,v
appropinquare; appropinqo, sich nähern; näher kommen,14,v
relinquere; relinquo; reliqui,verlassen; zurücklassen,14,v
agere; ago; egi,tun; handeln; verhandeln; treiben,14,v
negotia agere,Geschäft betreiben,14,x
bestiam agere,ein Tier jagen,14,x
fabulam agere,ein Theaterstück aufführen,14,x
quid agis?,wie geht es dir?,14,x
vitam agere,sein Leben verbringen,14,x
mittere; mitto; misi,schicken; loslassen; laufen lassen; werfen,14,v
posse ; possum; potui,können; vermögen,14,v
nondum,noch nicht,14,x
exspectare; exspecto,warten (auf); erwarten,14,v
statim,sofort; auf der Stelle,14,x
venia,die Nachsicht; die Verzeihung,14,s
veniam dare,verzeihen,14,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,14,v
adhuc,bis jetzt; immer noch,14,x
explicare; explico,erklären,14,v
nuper,neulich,14,x
signum,das Zeichen; das Feldzeichen,14,s
vincere; vinco; vici,siegen; besiegen,14,v
praemium,die Belohnung; der Lohn; der Preis,14,s
honor,die Ehre; das Eherenamt,14,s
studere; studeo,sich bemühen; (tum) wollen; studieren,14,v
vincere studere,siegen wollen,14,x
amico studere,sich um den Freund bemühen,14,x
vix,kaum; nur mit Mühe,14,x
equus,das Pferd,14,s
frustra,vergeblich; umsonst,14,x
denique,schließlich,14,x
petere; peto; petivi,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,14,v
senex; senis,der alte Mann; Greis,14,s
adulescens; adulescentis; adulescentium (gen. pl),der Jugendliche; der junge Mann,14,s
vox; vocis,die Stimme; das Wort,14,s
credere; credo; credidi,glauben; vertrauen,14,v
incendium,der Brand; das Feuer,14,s
auctor; auctoris,der Urheber; der Grümder; der Schriftsteller,14,s
taberna,der Laden; das Wirtshaus,14,s
forte,zufällig,14,x
intellegere; intellego; intellexi,erkennen; verstehen; einsehen,14,v
comprehendere; comprehendo; comprehendi,ergreifen; festnehmen; erfassen,14,v
servare; servo,retten (vor) ; bewahren ; beschützen,14,v
sollicitare; sollicito,beunruhigen; eregen,14,v
convincere; convinco; convici,überführen,14,v
gaudium,die Freude,14,s
gladius,das Schwert,14,s
arma; orum n,die Waffe,14,s
supplicium,die Strafe; die Todesstrafe; die Hinrichtung; das Gebet,14,s
populus; -i,das Volk,14,s
exercere; exerceo,üben; trainieren,14,v
medicus; -i,der Arzt,14,s
carere; careo,entbehren; nicht haben; frei sein von,14,v
ferrum,Eisen,14,s
se,sich,14,x
afficere; afficio; affeci (mit Abl.) ,versehen (mit),14,v
doloribus afficere,Schmerz zufügen,14,x
