Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,1,x
Ego sum,Ich bin; ich heiße,1,x
familia,die Familie,1,s
servus,der Diener; der Sklave,1,s
serva,die Dienerin; die Sklavin,1,s
dominus,der Herr; der Hausherr,1,s
domina,die Herrin; die Hausherrin,1,s
negotium,das Geschäft (machen); die Aufgabe,1,s
est,er/sie/es ist; es gibt,1,v
amicus,der Freund,1,s
et,und,1,x
amica,die Freundin,1,s
ubi,wo,1,x
non,nicht,1,x
hic,hier,1,x
properare,eilen; sich beeilen,1,v
laborare,leiden; arbeiten,1,v
clamare,(laut) rufen; schreien,1,v
sedere; sedeo; sedi,sitzen; dasitzen,1,v
gaudere,sich freuen; froh sein,1,v
sunt,sie sind; es gibt/findet statt,1,x
nam,denn ; nämlich,1,x
etiam,auch ; sogar,1,x
ibi,dort,1,x
debere,müssen; schulden,1,v
nunc,nun; jetzt,1,x
sed,aber; doch; sondern,1,x
cur?,warum?,1,x
otium,die Freizeit; die Ruhe; die Muße,1,s
forum,"das Forum; der (Markt)Platz, das Stadtzentrum",1,s
nomen,der Name,1,s
lectus,das Bett; die Liege,1,s
mensa,der Tisch,1,s
cibus,die Speise; das Essen; die Nahrung,1,s
cenare,essen; speisen,1,v
vinum,der Wein,1,s
aqua,das Wasser,1,s
vocare,rufen,1,v
quid?,was?,1,x
ridere; rideo; risi,lachen; auslachen,1,v
venire; venio; veni,kommen,1,v
audire,hören; anhören,1,v
dormire,schlafen,1,v
desperare,verzweifeln; die Hoffnung aufgeben,1,v
tum,dann; darauf; da; damals,1,x
iam,schon; bereits,1,x
subito,plötzlich,1,x
imperare,befehlen; anordnen; herrschen,1,v
parere,gehorchen; folgen,1,v
cessare,zögern; sich Zeit lassen,1,v
salutare,grüßen; begrüßen,1,v
salve!,sei gegrüßt; grüß dich!,1,x
num?,etwa?,1,x
aperire; aperio; aperui,öffnen; aufmachen,1,v
intrare,betreten; eintreten,1,v
verbum,das Wort,1,s
tacere,still sein; schweigen; verschweigen,1,v
rogare,fragen; bitte (um),1,v
respondere; respondeo; respondi,antworten,1,v
docere,lehren; beibringen; unterrichten,1,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,1,s
laudare,loben,1,v
bene,gut,1,x
tu,du,1,x
tabula,die Tafel; das Brett,1,s
amare,lieben; germe mögen,1,v
